MES,UNIDADES_VENDIDAS_TOTAL,UNIDADES_VENDIDAS_VIP,UNIDADES_VENDIDAS_VIS,UNIDADES_VENDIDAS_NO_VIS,UNIDADES_DISPONIBLES_TOTAL,UNIDADES_DISPONIBLES_VIP,UNIDADES_DISPONIBLES_VIS,UNIDADES_DISPONIBLES_NO_VIS,UNIDADES_LANZADAS_TOTAL,UNIDADES_LANZADAS_VIP,UNIDADES_LANZADAS_VIS,UNIDADES_LANZADAS_NO_VIS,AREA_VENDIDAS_TOTAL,AREA_VENDIDAS_VIP,AREA_VENDIDAS_VIS,AREA_VENDIDAS_NO_VIS,AREA_DISPONIBLES_TOTAL,AREA_DISPONIBLES_VIP,AREA_DISPONIBLES_VIS,AREA_DISPONIBLES_NO_VIS,AREA_LANZADAS_TOTAL,AREA_LANZADAS_VIP,AREA_LANZADAS_VIS,AREA_LANZADAS_NO_VIS,VALOR_VENDIDAS_TOTAL,VALOR_VENDIDAS_VIP,VALOR_VENDIDAS_VIS,VALOR_VENDIDAS_NO_VIS,VALOR_DISPONIBLES_TOTAL,VALOR_DISPONIBLES_VIP,VALOR_DISPONIBLES_VIS,VALOR_DISPONIBLES_NO_VIS,VALOR_LANZADAS_TOTAL,VALOR_LANZADAS_VIP,VALOR_LANZADAS_VIS,VALOR_LANZADAS_NO_VIS
06/01/2004 12:00:00 AM,2204,624,729,851,12604,3273,3094,6237,2136,799,575,762,161445,30843,45120,85482,991465,159748,188604,643113,137699,36881,34403,66415,179057,14579,30672,133806,1288183,74934,132384,1080866,134962,17158,22525,95279
07/01/2004 12:00:00 AM,2539,823,800,916,13226,4013,2911,6302,3157,1563,617,977,189688,39680,48804,101204,1015645,185014,177804,652827,213425,64946,38004,110475,228625,18690,33761,176174,1317737,88973,125865,1102899,240779,32504,26282,181993
08/01/2004 12:00:00 AM,2917,1097,923,897,13717,4211,2800,6706,3408,1295,812,1301,194922,53508,59320,82094,1047722,189301,171396,687025,226999,57795,52912,116292,177667,24097,37824,115746,1378824,91421,120346,1167056,232316,26344,31491,174480
09/01/2004 12:00:00 AM,3036,1309,790,937,14024,4577,2632,6815,3338,1675,622,1041,206389,61642,50271,94476,1061858,205352,161429,695077,219939,77693,40304,101942,209899,27964,32541,149393,1388409,98948,112012,1177449,214316,35352,24133,154831
10/01/2004 12:00:00 AM,3201,1106,916,1179,13338,4034,2075,7229,2515,563,359,1593,228420,52938,56746,118736,1045215,177437,127021,740757,211777,25023,22338,164416,264814,24569,37707,202538,1457812,87241,92260,1278311,324537,12364,17711,294462
11/01/2004 12:00:00 AM,2764,987,874,903,14094,3997,2761,7336,3518,950,1560,1008,190765,47093,53073,90599,1117429,183612,164906,768911,262779,53268,90958,118553,209036,22341,37685,149010,1591643,88605,120681,1382358,338011,23194,65492,249324
12/01/2004 12:00:00 AM,2232,804,814,614,13418,3501,2708,7209,1556,308,761,487,159654,38775,51171,69708,1086290,159074,161734,765482,128515,14237,47999,66279,175608,17644,33302,124663,1584363,77781,118445,1388138,163985,6751,31040,126193
01/01/2005 12:00:00 AM,2460,799,757,904,13007,3115,2739,7153,2049,413,788,848,176373,38074,46061,92238,1072958,142716,165657,764585,163041,21716,49984,91341,211868,18106,32242,161520,1585293,70889,120012,1394392,204151,10221,32960,160971
02/01/2005 12:00:00 AM,2389,779,700,910,12663,3260,2419,6984,2045,924,380,741,177962,38737,44279,94946,1057068,154755,146574,755739,162072,50776,25196,86100,207685,18050,30671,158964,1570287,75386,106163,1388737,190113,22572,16416,151125
03/01/2005 12:00:00 AM,2915,709,943,1263,12999,4085,2150,6764,3251,1534,674,1043,212391,34134,59610,118647,1059410,189718,129570,740122,214733,69097,42606,103030,245597,15848,41535,188215,1571609,94773,96335,1380502,240620,35198,31260,174162
04/01/2005 12:00:00 AM,2946,955,861,1130,13427,3906,2618,6903,3374,776,1329,1269,210779,46301,53909,110569,1103943,183723,164037,756183,255312,40306,88376,126630,244002,22594,37679,183729,1621920,96966,111106,1413848,288694,24732,52315,211647
05/01/2005 12:00:00 AM,2517,934,792,791,14314,4288,2651,7375,3404,1316,825,1263,174602,44677,50205,79720,1146567,203782,164255,778530,217226,64736,50423,102067,196499,21642,32775,142082,1639192,103488,111512,1424192,209963,27977,33699,148287
